pattern_name,category,problem_solved,solution,when_to_use,when_not_to_use,accessibility_impact,mobile_adaptation,example_implementation,references
Error Recovery,feedback,Users encounter errors and do not know how to proceed,Clear error message with specific guidance and recovery action,Form validation API errors and system failures,Scenarios where errors are impossible or pre-validated,Error messages associated via aria-describedby and not color-only,Inline errors below field level with scroll-to-first-error,Alert with role=alert and actionable retry or fix guidance,NNGroup Baymard Institute
Search Autocomplete,forms,Users type long queries or misspell common searches,Show matching suggestions as user types with keyboard selection,Search fields with predictable or bounded result sets,Free-text areas or when suggestions would be misleading,role=combobox with aria-expanded aria-activedescendant and result count,Full-screen search overlay on mobile with recent and trending,Combobox input with listbox results and debounced API calls,WAI-ARIA Combobox Pattern Google Material
Inline Validation,forms,Users submit forms only to discover multiple errors at once,Validate and show feedback as user completes each field,Forms with specific format requirements or common mistakes,Simple forms with 1-2 fields or when validation is slow,aria-invalid=true with aria-describedby linking to error message,Same behavior with errors below fields,onBlur validation with adjacent error span,Luke Wroblewski NNGroup
Multi-step Form Wizard,forms,Long forms overwhelm users with too many fields at once,Break form into logical steps with progress indicator,Forms with 8+ fields that group into logical sections,Short forms under 6 fields or forms needing cross-field comparison,Announce current step and total and preserve completed data on back,Full-width steps with minimal progress indicator,Stepper component with fieldset per step and session storage,Baymard Institute NNGroup
Floating Label,forms,Labels take vertical space above inputs reducing form density,Label starts as placeholder then animates above on focus,Dense forms where vertical space is premium,Forms requiring persistent visible labels for complex fields,Ensure label remains visible and associated via htmlFor at all states,Same behavior works well on mobile touch,Input with label that transitions from inside to above via CSS,Material Design Luke Wroblewski
Password Strength Meter,forms,Users create weak passwords without feedback on quality,Real-time visual indicator of password strength as user types,Registration and password change forms,Login forms or non-security-critical fields,aria-live region announcing strength level changes,Same component works on mobile,Progress bar with aria-valuenow and descriptive level text,OWASP NNGroup
Drag and Drop,interaction,Manual reordering through form controls is tedious,Allow direct manipulation reordering via mouse or touch drag,Lists kanban boards file uploads and layout builders,When order does not matter or when items exceed 20,Keyboard alternative required via arrow keys with grab/drop announcements,Long-press to initiate drag with haptic feedback,Draggable items with keyboard listeners and aria-grabbed,WAI-ARIA Drag and Drop GOV.UK
Contextual Actions,interaction,Action buttons for each list item clutter the interface,Show actions on hover or via three-dot menu per item,Lists and tables where items have 2-5 possible actions,Single-action items or when all actions must be visible,Menu button with aria-haspopup and keyboard-accessible menu items,Three-dot menu always visible on mobile,Button with aria-haspopup=menu triggering dropdown menu,Material Design NNGroup
Dark Mode Toggle,interaction,Users want control over light and dark color schemes,Toggle switch that swaps CSS custom properties for theme,Any app or site used for extended periods especially dev tools,Print-focused sites or sites with brand-critical color schemes,Ensure all contrast ratios maintained in both themes,Same toggle often in settings or header,Toggle button setting class on html and persisting to localStorage,Web.dev Tailwind CSS docs
Command Palette,interaction,Power users need fast access to actions without menu navigation,Keyboard-triggered searchable action list,Developer tools productivity apps and complex SaaS dashboards,Simple sites with few actions or non-technical audiences,role=combobox with results as role=option and keyboard navigation,Usually omitted on mobile or triggered via dedicated button,Cmd+K triggered modal with search input and action list,Linear GitHub VS Code
Optimistic UI,interaction,Waiting for server response makes interface feel slow,Update UI immediately assuming success then reconcile on response,Common fast operations like likes toggles and simple edits,Critical operations like payments or destructive deletes,Announce state change immediately then announce error if rollback,Same approach works identically on mobile,Update local state immediately with rollback handler on API error,Facebook Engineering Dan Abramov
Card Grid,layout,Displaying multiple similar items in scannable format,Uniform cards in responsive grid with consistent information hierarchy,Product catalogs team directories feature overviews,Content requiring sequential reading or deep comparison,Cards as article or li with proper heading and image alt,Reduce columns 4 to 2 to 1 as viewport shrinks,CSS Grid with auto-fill minmax and card component,Material Design NNGroup
Split Button,action,Primary action needs to be prominent but alternatives exist,Button with default action and dropdown for alternatives,When one action is used 80%+ of the time with occasional alternatives,When all actions are equally likely,Primary button and dropdown trigger have separate aria-labels,Full-width button with secondary action row below,Button group with primary and dropdown-trigger sharing visual container,Ant Design Microsoft Fluent
Confirmation Dialog,feedback,Destructive or irreversible actions need explicit user consent,Modal dialog requiring explicit confirm or cancel,Delete operations payments and irreversible state changes,Routine non-destructive operations,role=alertdialog with aria-describedby explaining consequences,Same dialog adapted to bottom sheet on mobile,Dialog with clear destructive action label and escape to cancel,NNGroup Apple HIG
Expandable Table Row,data,Table rows need to show additional details without navigation,Clicking row expands inline detail panel below the row,Master-detail data where details are secondary to list scanning,When all detail fields are equally important and should show in columns,aria-expanded on trigger row and aria-controls linking to detail panel,Detail panel becomes full card view on mobile,tr with aria-expanded toggling adjacent tr containing detail content,Ant Design Material UI
